Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2022-11-05,"Urban Struggle",5.12a,"Got it clean! Felt solid and really dialed throughout it too. Very stoked to bag my first .12a!",https://www.mountainproject.com/route/105998539/urban-struggle,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Ghetto Wall",3.4,-1,Lead,Redpoint,Sport,,50,6600
2022-11-05,"Urban Struggle",5.12a,"First effort greased out of the crux pocket.",https://www.mountainproject.com/route/105998539/urban-struggle,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Ghetto Wall",3.4,-1,Lead,Fell/Hung,Sport,,50,6600
2022-11-05,Directpissima,5.11a,"The steep stuff up high is so sick. I realized I dodged 2 bolts of the direct line just after Kathmandu which looks like it adds some good climbing instead of escaping right to a standing rest. If you do this again you should try that.",https://www.mountainproject.com/route/105928015/directpissima,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Ghetto Wall",2.4,-1,Lead,Redpoint,Sport,,50,4600
2022-11-05,Unnamed,5.10d,"Very soft for the grade, I would say .10b and even then it’s like 3 moves. Pretty cool moves but then the rest of the route is forgettable.",https://www.mountainproject.com/route/119397914/unnamed,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Ghetto Wall",2.4,-1,Lead,Onsight,Sport,,45,3500
2022-11-05,"Spiker Monkey",5.10c,"Pretty sure this is the line we did. Good fun!",https://www.mountainproject.com/route/118185692/spiker-monkey,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Planet of the Apes Wall",2.5,-1,TR,,TR,,45,3200
2022-11-05,"Planet of the Apes",5.11a,"Took a hang up top, feeling hosed from the day. Easy down low to some fun tough stuff on high.",https://www.mountainproject.com/route/106239437/planet-of-the-apes,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Planet of the Apes Wall",3.2,-1,TR,,TR,,70,4600
2022-11-05,"Monkey Sang, Monkey Do",5.11c,"Sent the crux much easier this time, but still having trouble with the crack-y thing up high.",https://www.mountainproject.com/route/107876829/monkey-sang-monkey-do,1,"California > Los Angeles Basin > Santa Monica Mountains > Malibu Creek State Park > Planet of the Apes Wall",3.6,-1,TR,,TR,,70,5200
2022-10-21,"Three Fools aka Kelley Route 32",5.10,"Max cupped hands for me. Quite easy for my mitts.
Recommended rack: 4-6x(3)",https://www.mountainproject.com/route/106954657/three-fools-aka-kelley-route-32,1,"Utah > Southeast Utah > Indian Creek > Reservoir Wall",2.5,-1,Lead,Onsight,Trad,,60,3000
2022-10-21,"Brother From Another Planet",5.12-,"Led to the roof, aided the roof to then TR practice it. Strike mission with Justin, very fun! So effin sandy. This thing is absolutely insane, anyone who can turn the lip on this rig is a monster. The method that worked well for me is to scoot the butt by full palming the lip, then driving the legs bag up so you don’t slip out. As for getting in and out, only god knows.",https://www.mountainproject.com/route/106058396/brother-from-another-planet,1,"Utah > Southeast Utah > Indian Creek > Fin Wall",3.8,-1,TR,,Trad,,90,6700
2022-10-21,"Finger Food",5.11,"1 hang at crux. This route is awesome and feels very doable. Some offset off fingers takes you below a roof. A knee bar and a hard pull on some tips brings you to some not-so-bad fingers. Look for an escape to a ledge on your left around the arete for a rest. The crux is two bodylengths of hard pulling with poor feet. The top requires some weird movement but isn’t too bad.",https://www.mountainproject.com/route/106058515/finger-food,1,"Utah > Southeast Utah > Indian Creek > Reservoir Wall",3.5,-1,TR,,Trad,,80,5000
2022-10-21,Pente,5.11-,"Not my proudest send but not a total dogghouse either. 1 fall on the first section and two exhausto-hangs through the main line. The first section requires a few strong pulls, then get that right foot in the big pod and start stemming swimming that left hand TD. Don’t place too close to the roof, rope drag would suck. Enjoy infinite crammed 2’s to big 1’s, you can jam this size well! Rest up, bump out a short section of crammed 1’s to a thank god jug. Then another rest into low angle 0.75/0.5’s to the chain where getting a good corner smear is critical. Crazy long, crazy good, you have to come back for this one!
Recommended rack: 3x(0.5), 4x(0.75), 6x(1), 4x(2), 2x(3).",https://www.mountainproject.com/route/105717391/pente,1,"Utah > Southeast Utah > Indian Creek > Reservoir Wall",3.9,-1,Lead,Fell/Hung,Trad,,140,4700
2022-10-20,"Blue Sky Mining",5.10+,"Cool facey moves with some small gear. Crank some good locks to a fine rest then bump out a layback section that goes to jams sooner than you think.
Recommended rack: 1x(0.2-4), double 0.75 and down if more gear is desired.",https://www.mountainproject.com/route/105933992/blue-sky-mining,1,"Utah > Southeast Utah > Indian Creek > Broken Tooth",2.4,-1,Lead,Onsight,Trad,,50,3300
2022-10-20,"Midnight Oil",5.10+,"Way harder than Blue Sky Mining to its right. The 0.75’s is mega tough, steep and poor feet. Sandy for us too. The layback is not too bad but also harder than the layback section on the right.",https://www.mountainproject.com/route/105933997/midnight-oil,1,"Utah > Southeast Utah > Indian Creek > Broken Tooth",2.3,-1,TR,,Trad,,55,3300
2022-10-20,"unnamed classic hand crack aka Gold Crown",5.11-,"Mega route. So long and tasty. Layback not so bad. I thought the 1’s roof down low was the hardest part. Difficult for me to jam nicely so I just punched a layback through it. Cruise forever to the 4’s roof, which I thought wasn’t too bad with my mitts. Take a nice rest in the knee jam and bump out the final section.",https://www.mountainproject.com/route/105718114/unnamed-classic-hand-crack-aka-gold-crown,1,"Utah > Southeast Utah > Indian Creek > Broken Tooth",3.7,-1,Lead,Flash,Trad,,120,4700
2022-10-20,"The Incisor",5.11a,"Redpoint attempt after TR. One hang at crux after throwing foot but not quite getting it high enough. The key is to be patient, get the good butterfly jam with both of your palms pointed right. Be sure to get your low foot high and not too deep and throw that right foot above your head! The rest of the route is chill.
Recommended rack: 1x(0.75), 1x(3), 1x(4), 3-4x(5)",https://www.mountainproject.com/route/105861212/the-incisor,1,"Utah > Southeast Utah > Indian Creek > Broken Tooth",2.8,-1,Lead,Fell/Hung,Trad,,70,4600
2022-10-20,"The Incisor",5.11a,"TR attempt. 1 hang at crux.",https://www.mountainproject.com/route/105861212/the-incisor,1,"Utah > Southeast Utah > Indian Creek > Broken Tooth",2.8,-1,TR,,Trad,,70,4600
2022-10-20,"Rock Lobster",5.11b,"Super all-time. Crazy enjoyable hand cruising for 2/3rds of it. Rest up in the pod and cruise some slightly less than vertical 1->0.75->0.5 with plenty of foot pods and relief.
Triples 0.5-3",https://www.mountainproject.com/route/105718087/rock-lobster,1,"Utah > Southeast Utah > Indian Creek > Broken Tooth",3.8,-1,Lead,Onsight,Trad,,115,4900
2022-10-19,"Lightning Bolt Cracks",5.11-,"Led all pitches with Luke. One whip and one take at the P2 crux. Everything else clean and in good style. Absolutely incredible climbing in an absolutely incredible position with great friends!
P1 starts with a tough move into the crack proper, using the leaning right crack for locks and feet. Easy until the finish where you have to burl through some steep wide.
P2 crux is also off the deck. An easy foot ramp takes you to a tips crack where a good nut and a high 0.2 can be placed. Crank off some good locks, place a good piece high and be ready to fire. Don’t bother with the arete on the left, focus on cranking slightly off fingers and driving hard with that right foot. Getting your LHTU in the slot finishes the crux. The rest of the pitch is steep but fine.
P3 climbs the improbably roof, stay fresh for it, the exposure is insane and the moves legit! The final squeeze is totally fine if you climb it mostly left side in. Plenty of rails and holds. Keep an eye out for the skull!
The summit is awesome, took plenty of newds and enjoyed the views!",https://www.mountainproject.com/route/105717598/lightning-bolt-cracks,1,"Utah > Southeast Utah > Indian Creek > North Six Shooter Peak",3.9,-1,Lead,Fell/Hung,Trad,,,4700
2022-10-17,"The Man Cave 5.10",5.10,"End of day lap. A fine route, a little dirty and the hands get wide. Cool views and cool exit move.",https://www.mountainproject.com/route/116784264/the-man-cave-510,1,"Utah > Southeast Utah > Indian Creek > Battle of the Bulge Buttress",2.5,-1,TR,,Trad,,75,3000
2022-10-17,"Cave Route",5.10d,"Another year, another flail on cave route. If I actually want to send this I should probably try a lap on TR and try it when I’m fresh instead of when I’m already super worked! These crammed 1’s are just so tight for me, it’s ring locks all the way or uber thin swimming. I still recommend not getting your right foot in, it just always barn doors me out. It’s so hard to trust your feet on this for some reason. There is a clear rail on the back wall that designates when you can start stemming. From there, the crack will widen and some relief is found.
Recommended rack: 2x(0.75), 8-10(1x), 2x(2).",https://www.mountainproject.com/route/105717361/cave-route,1,"Utah > Southeast Utah > Indian Creek > Battle of the Bulge Buttress",3.5,-1,Lead,Fell/Hung,Trad,,,3500
2022-10-17,"The Mayes",5.10,"A good warmup for the area as it starts with some thin hands and the flare requires some oomph.",https://www.mountainproject.com/route/105871554/the-mayes,1,"Utah > Southeast Utah > Indian Creek > Battle of the Bulge Buttress",2.4,-1,Lead,Onsight,Trad,,50,3000
2022-10-17,"Think Pink",5.11a,"Pretty stellar hands for me throughout. Makes you huff and puff hard through the steepness.
Recommended rack: 2x(0.5-1), 4-6x(2), 2-4x(3)",https://www.mountainproject.com/route/105717439/think-pink,1,"Utah > Southeast Utah > Indian Creek > Battle of the Bulge Buttress",3.4,-1,Lead,Onsight,Trad,,,4600
2022-10-17,"Crack Attack",5.11-,"All time route for it’s cool feature and varied movement. Took some power yelps and I may have blacked out at the final moves but I sent! Some blue collar work gets you under the roof where a nice knee bar rest awaits you. Pulling the roof is much easier than it looks. To the pod is nice baggy 1’s with good foot chips so get sequential. The crux is after the pod, getting situated on some ring locks. Left hand in the top of the pod, then get a nice RH ring lock, set some higher feet in the pod and bang a RHTD to a locker constriction. Bang out a few powerful moves to some nice feet and clean it up easy.
Recommended rack: 1x(0.5), 3x(0.75), 5x(1), 1x(2), 2x(3), 1x(5), optional 4.",https://www.mountainproject.com/route/105717334/crack-attack,1,"Utah > Southeast Utah > Indian Creek > Battle of the Bulge Buttress",3.7,-1,Lead,Flash,Trad,,,4700
2022-10-16,"Unnamed 10-",5.10-,"Nasty route. Awkward tips, to sandy laybacks. Short but mean, I would not climb it again.
Recommended rack: 1x(0.2), 2x(0.3), 2x(0.4), 1x(0.5), 1x(0.75)",https://www.mountainproject.com/route/121755099/unnamed-10,1,"Utah > Southeast Utah > Indian Creek > The Wall",2.5,-1,Lead,Fell/Hung,Trad,,40,2700
2022-10-16,Sorrow,5.11,"Absolutely stellar climb, every dang size and perfect rock.
2 hangs, one in the 0.5 section and one after placing for the tips. There is a thank god flaring handjam before the business, the sequence is much nicer if you hit it with the left and go from there. There are nice pods for feet that take the edge off. The boulder problem just requires getting both hands on the rail and hucking a high left foot. The start takes a 0.5 and the finish a 3. I would say the hardest part is placing the final 0.3 from the sandy crimps.
Double rack 0.3-3 and an extra 0.5+3 is perfect.",https://www.mountainproject.com/route/105882470/sorrow,1,"Utah > Southeast Utah > Indian Creek > The Wall",3.6,-1,Lead,Fell/Hung,Trad,,110,5000
2022-10-16,Sorrow,5.11,"Gave it a second go and biffed the final move, big bummer!",https://www.mountainproject.com/route/105882470/sorrow,1,"Utah > Southeast Utah > Indian Creek > The Wall",3.6,-1,Lead,Fell/Hung,Trad,,110,5000
2022-10-16,"Pigs On The Wing",5.11,"Tronsight. Chill hands that alternates baggy 1’s to good 2’s. Good rests. Some good pods through the switch, place, then crank out a few reps of ring locks. Don’t place pro through this section, just gun it to a nice rest out left where you can chill and place pro! Then finish with a few ring locks to a thank god handjam and voila.
Recommended rack:
1x(0.5) 3x (0.75) 6x(1) 4x(2) 1x(3)",https://www.mountainproject.com/route/105895467/pigs-on-the-wing,1,"Utah > Southeast Utah > Indian Creek > The Wall",3.7,-1,TR,,Trad,,90,5000
2022-10-15,"Blue Sun",5.10-,"Quick end of day lap. Such crazy good slammer hands.",https://www.mountainproject.com/route/105718435/blue-sun,1,"Utah > Southeast Utah > Indian Creek > Way Rambo",3.6,-1,TR,,Trad,,70,2700
2022-10-15,"Layaway Plan",5.11+,"1 hang prior to the pre-roof rest. 1 big fall and a hang through the roof. The long 1’s section went very smooth and I’m actually probably most proud of that. You are rewarded with a jug to pull into the rest and a pretty solid active rest. The section after is best turned into a quick layback so you can your foot into the divot to prep for the roof. A 1+2 with an alpine is bomber. It’s critical you don’t try to place until after you’re out of the layback past the roof. Pull fucking hard and send it. You have to reach far with the right to find anything worth grabbing when trying to turn the roof. Once you latch your left hand it’s easy to pull into the crack and the crux is over. The fall is clean so seeeeend it!!!
1x(0.5), 8x(1), 2x(2), 1x(3). Save a 1 for after the turn.",https://www.mountainproject.com/route/105718432/layaway-plan,1,"Utah > Southeast Utah > Indian Creek > Way Rambo",3.7,-1,Lead,Fell/Hung,Trad,,100,5300
